D,string,u
D,1963-12-22 18:00:00,51.2
D,1963-12-23 18:00:00,52.9
D,1963-12-24 18:00:00,53.2
D,1963-12-25 18:00:00,52.3
D,1963-12-26 18:00:00,51.5
D,1963-12-27 18:00:00,51.5
D,1963-12-28 18:00:00,51.3
D,1963-12-29 18:00:00,50.7
D,1963-12-30 18:00:00,50.0
D,1963-12-31 18:00:00,49.0
D,1964-01-01 18:00:00,48.9
D,1964-01-02 18:00:00,50.0
D,1964-01-03 18:00:00,50.6
D,1964-01-04 18:00:00,47.9
D,1964-01-05 18:00:00,43.4
D,1964-01-06 18:00:00,41.0
D,1964-01-07 18:00:00,40.9
D,1964-01-08 18:00:00,41.3
D,1964-01-09 18:00:00,38.5
D,1964-01-10 18:00:00,36.1
D,1964-01-11 18:00:00,33.9
D,1964-01-12 18:00:00,34.1
D,1964-01-13 18:00:00,35.9
D,1964-01-14 18:00:00,39.0
D,1964-01-15 18:00:00,42.9
D,1964-01-16 18:00:00,45.2
D,1964-01-17 18:00:00,45.9
D,1964-01-18 18:00:00,44.8
D,1964-01-19 18:00:00,41.9
D,1964-01-20 18:00:00,39.3
D,1964-01-21 18:00:00,37.8
D,1964-01-22 18:00:00,39.5
D,1964-01-23 18:00:00,41.5
D,1964-01-24 18:00:00,42.0
D,1964-01-25 18:00:00,41.8
D,1964-01-26 18:00:00,42.2
D,1964-01-27 18:00:00,43.6
D,1964-01-28 18:00:00,44.4
D,1964-01-29 18:00:00,45.6
D,1964-01-30 18:00:00,47.1
D,1964-01-31 18:00:00,49.9
D,1964-02-01 18:00:00,50.5
D,1964-02-02 18:00:00,49.2
D,1964-02-03 18:00:00,46.3
D,1964-02-04 18:00:00,44.4
D,1964-02-05 18:00:00,44.3
D,1964-02-06 18:00:00,46.4
D,1964-02-07 18:00:00,48.4
D,1964-02-08 18:00:00,50.6
D,1964-02-09 18:00:00,50.2
D,1964-02-10 18:00:00,47.8
D,1964-02-11 18:00:00,44.4
D,1964-02-12 18:00:00,41.6
D,1964-02-13 18:00:00,42.3
D,1964-02-14 18:00:00,44.9
D,1964-02-15 18:00:00,49.1
D,1964-02-16 18:00:00,52.0
D,1964-02-17 18:00:00,52.9
D,1964-02-18 18:00:00,50.7
D,1964-02-19 18:00:00,46.4
D,1964-02-20 18:00:00,40.8
D,1964-02-21 18:00:00,36.3
D,1964-02-22 18:00:00,34.1
D,1964-02-23 18:00:00,35.2
D,1964-02-24 18:00:00,37.1
D,1964-02-25 18:00:00,38.4
D,1964-02-26 18:00:00,36.3
D,1964-02-27 18:00:00,33.3
D,1964-02-28 18:00:00,30.9
D,1964-02-29 18:00:00,29.5
D,1964-03-01 18:00:00,28.5
D,1964-03-02 18:00:00,26.3
D,1964-03-03 18:00:00,24.3
D,1964-03-04 18:00:00,22.0
D,1964-03-05 18:00:00,20.4
D,1964-03-06 18:00:00,19.6
D,1964-03-07 18:00:00,18.8
D,1964-03-08 18:00:00,16.2
D,1964-03-09 18:00:00,12.9
D,1964-03-10 18:00:00,10.8
D,1964-03-11 18:00:00,10.7
D,1964-03-12 18:00:00,11.3
D,1964-03-13 18:00:00,10.8
D,1964-03-14 18:00:00,8.9
D,1964-03-15 18:00:00,6.7
D,1964-03-16 18:00:00,4.0
D,1964-03-17 18:00:00,1.9
D,1964-03-18 18:00:00,-1.2
D,1964-03-19 18:00:00,-4.2
D,1964-03-20 18:00:00,-7.0
D,1964-03-21 18:00:00,-8.7
D,1964-03-22 18:00:00,-10.3
D,1964-03-23 18:00:00,-12.1
D,1964-03-24 18:00:00,-13.1
D,1964-03-25 18:00:00,-14.0
D,1964-03-26 18:00:00,-15.0
D,1964-03-27 18:00:00,-15.5
D,1964-03-28 18:00:00,-15.3
D,1964-03-29 18:00:00,-13.9
D,1964-03-30 18:00:00,-13.1
D,1964-03-31 18:00:00,-12.0
D,1964-04-01 18:00:00,-10.8
D,1964-04-02 18:00:00,-9.3
D,1964-04-03 18:00:00,-8.1
D,1964-04-04 18:00:00,-7.2
D,1964-04-05 18:00:00,-7.1
D,1964-04-06 18:00:00,-6.9
D,1964-04-07 18:00:00,-6.7
D,1964-04-08 18:00:00,-6.3
D,1964-04-09 18:00:00,-6.1
D,1964-04-10 18:00:00,-6.1
D,1964-04-11 18:00:00,-5.9
D,1964-04-12 18:00:00,-5.7
D,1964-04-13 18:00:00,-5.5
D,1964-04-14 18:00:00,-5.3
D,1964-04-15 18:00:00,-5.1
D,1964-04-16 18:00:00,-4.8
D,1964-04-17 18:00:00,-4.5
D,1964-04-18 18:00:00,-4.3
D,1964-04-19 18:00:00,-4.2
D,1964-04-20 18:00:00,-4.1
D,1964-04-21 18:00:00,-3.8
D,1964-04-22 18:00:00,-3.2
D,1964-04-23 18:00:00,-2.6
D,1964-04-24 18:00:00,-2.1
D,1964-04-25 18:00:00,-1.7
D,1964-04-26 18:00:00,-1.4
D,1964-04-27 18:00:00,-1.2
D,1964-04-28 18:00:00,-1.4
D,1964-04-29 18:00:00,-1.9
D,1964-04-30 18:00:00,-2.5
D,1964-05-01 18:00:00,-2.9
D,1964-05-02 18:00:00,-3.2
D,1964-05-03 18:00:00,-3.8
D,1964-05-04 18:00:00,-4.5
D,1964-05-05 18:00:00,-4.7
D,1964-05-06 18:00:00,-4.4
D,1964-05-07 18:00:00,-4.0
D,1964-05-08 18:00:00,-3.9
D,1964-05-09 18:00:00,-4.0
D,1964-05-10 18:00:00,-4.3
D,1964-05-11 18:00:00,-4.5
D,1964-05-12 18:00:00,-4.6
D,1964-05-13 18:00:00,-4.5
D,1964-05-14 18:00:00,-4.8
D,1964-05-15 18:00:00,-5.3
D,1964-05-16 18:00:00,-5.9
D,1964-05-17 18:00:00,-6.2
D,1964-05-18 18:00:00,-6.4
D,1964-05-19 18:00:00,-6.7
D,1964-05-20 18:00:00,-6.9
D,1964-05-21 18:00:00,-7.2
D,1964-05-22 18:00:00,-7.4
D,1964-05-23 18:00:00,-7.7
D,1964-05-24 18:00:00,-7.8
D,1964-05-25 18:00:00,-8.0
D,1964-05-26 18:00:00,-8.1
D,1964-05-27 18:00:00,-8.2
D,1964-05-28 18:00:00,-8.4
D,1964-05-29 18:00:00,-9.0
D,1964-05-30 18:00:00,-9.5
D,1964-05-31 18:00:00,-10.0
D,1964-06-01 18:00:00,-9.9
D,1964-06-02 18:00:00,-9.7
D,1964-06-03 18:00:00,-9.9
D,1964-06-04 18:00:00,-10.2
D,1964-06-05 18:00:00,-10.5
D,1964-06-06 18:00:00,-10.4
D,1964-06-07 18:00:00,-10.6
D,1964-06-08 18:00:00,-10.7
D,1964-06-09 18:00:00,-10.7
D,1964-06-10 18:00:00,-10.7
D,1964-06-11 18:00:00,-10.8
D,1964-06-12 18:00:00,-11.2
D,1964-06-13 18:00:00,-11.7
D,1964-06-14 18:00:00,-12.2
D,1964-06-15 18:00:00,-12.7
D,1964-06-16 18:00:00,-13.0
D,1964-06-17 18:00:00,-13.0
D,1964-06-18 18:00:00,-13.1
D,1964-06-19 18:00:00,-12.9
D,1964-06-20 18:00:00,-12.7
D,1964-06-21 18:00:00,-12.4
D,1964-06-22 18:00:00,-12.3
D,1964-06-23 18:00:00,-12.4
D,1964-06-24 18:00:00,-12.4
D,1964-06-25 18:00:00,-12.5
D,1964-06-26 18:00:00,-12.3
D,1964-06-27 18:00:00,-12.1
D,1964-06-28 18:00:00,-11.5
D,1964-06-29 18:00:00,-11.2
D,1964-06-30 18:00:00,-11.3
D,1964-07-01 18:00:00,-11.4
