,D_d,string,ar,latcent,kurtosis,area,form,D_msw,u,scaled_area,scaled_ar,scaled_latcent,scaled_u,ssa_scaled_u,eeof_scaled_u,y
597,D,1967-12-23 18:00:00,1.9212,79.902,0.13149,29130000.0,0,D,30.3,0.07732740098155604,0.8029365924406119,0.18464329956850417,0.29283665076281334,0.11357672190675883,0.09262060399298858,0
598,D,1967-12-24 18:00:00,1.7771,78.583,0.22974,27527000.0,0,D,29.6,-0.03782660374737825,0.4762494233929751,-0.06554790539899466,0.24982577489013846,0.13494867278725511,0.05785206011325514,0
599,D,1967-12-25 18:00:00,1.4512,76.132,0.19158,25342000.0,0,D,31.2,-0.19478948605100982,-0.26259407690282427,-0.5304596896107738,0.3481363483133953,0.2983505030301982,0.1635297977747073,0
600,D,1967-12-26 18:00:00,1.4515,76.182,0.14099,23059000.0,0,D,34.3,-0.35879235117649766,-0.2619139509436689,-0.5209755650858503,0.5386130843209556,0.5543788003052641,0.36092251094755534,0
601,D,1967-12-27 18:00:00,1.5396,78.581,0.13431,22718000.0,0,D,35.5,-0.3832886179341811,-0.062183627605037456,-0.06592727037999074,0.6123460143883985,0.6939066942367642,0.44188236165402406,0
602,D,1967-12-28 18:00:00,1.8754,81.348,0.1127,19924000.0,0,D,30.8,-0.5839999649164908,0.6991040293428896,0.4589241808293094,0.32355870495758116,0.4708870981729703,0.16130770082878657,0
603,D,1967-12-29 18:00:00,2.6464,80.377,0.039051,21926000.0,1,D,23.1,-0.4401831729842846,2.447027744372228,0.2747424825552823,-0.149560929641843,0.06308485697972122,-0.3026325663310187,1
604,D,1967-12-30 18:00:00,2.8574,77.343,0.13465,32088000.0,1,D,16.9,0.2898199437065639,2.9253830023115164,-0.3007541936171119,-0.530514401656964,-0.25350224533241117,-0.6738531934506096,1
605,D,1967-12-31 18:00:00,2.8537,75.58,0.44467,35337000.0,1,D,14.4,0.5232169252189204,2.9169947821485995,-0.6351644243659375,-0.6841246726308029,-0.34415915870675395,-0.8178667239742827,1
606,D,1968-01-01 18:00:00,3.0353,76.331,0.53342,32294000.0,1,D,12.8,0.30461827494434335,3.328697696090659,-0.4927128740015762,-0.7824352460540598,-0.38129342544093875,-0.9072221567592769,1
607,D,1968-01-02 18:00:00,3.0671,78.552,0.2009,31365000.0,1,D,12.2,0.23788211125552244,3.4007910477611296,-0.07142806260444604,-0.8193017110877813,-0.35909233839263077,-0.9355008225254116,1
608,D,1968-01-03 18:00:00,3.312,80.393,-0.031768,27349000.0,1,D,11.4,-0.0506135113217702,3.9560005390849753,0.277777402403259,-0.8684569977994097,-0.35158361835844243,-0.978150844709871,1
609,D,1968-01-04 18:00:00,3.2688,85.858,-0.33048,29694000.0,1,D,10.8,0.1178432204869328,3.8580624009666007,1.3143922129774661,-0.905323462833131,-0.3344747848195241,-1.0086580846728652,1
610,D,1968-01-05 18:00:00,2.8599,82.12,-0.086233,40758000.0,1,D,7.7,0.9126429137626214,2.931050718637811,0.6053590634941389,-1.0958001988406916,-0.4739290618960954,-1.1933882330086094,1
